temperature,city,pression,date
296.22,ouagadougou,1015,2024-01-01 23:52
302.38,accra,1013,2024-01-01 23:52
283.5,paris,1003,2024-01-01 23:50
284.32,london,987,2024-01-01 23:50
275.06,washington,1027,2024-01-01 23:50
296.22,ouagadougou,1015,2024-01-01 23:50
302.38,accra,1013,2024-01-01 23:50
283.5,paris,1003,2024-01-01 23:49
284.31,london,987,2024-01-01 23:49
275.06,washington,1027,2024-01-01 23:49
296.22,ouagadougou,1015,2024-01-01 23:49
302.38,accra,1013,2024-01-01 23:49
283.5,paris,1003,2024-01-01 23:48
284.31,london,987,2024-01-01 23:48
275.06,washington,1027,2024-01-01 23:48
296.22,ouagadougou,1015,2024-01-01 23:48
302.38,accra,1013,2024-01-01 23:48
283.5,paris,1003,2024-01-01 23:45
284.31,london,987,2024-01-01 23:45
275.06,washington,1027,2024-01-01 23:45
296.22,ouagadougou,1015,2024-01-01 23:45
302.38,accra,1013,2024-01-01 23:45
283.5,paris,1003,2024-01-01 23:44
284.31,london,987,2024-01-01 23:44
275.06,washington,1027,2024-01-01 23:44
296.22,ouagadougou,1015,2024-01-01 23:44
302.38,accra,1013,2024-01-01 23:44
283.5,paris,1003,2024-01-01 23:43
284.31,london,987,2024-01-01 23:43
275.06,washington,1027,2024-01-01 23:43
296.22,ouagadougou,1015,2024-01-01 23:43
302.38,accra,1013,2024-01-01 23:43
283.5,paris,1003,2024-01-01 23:42
284.31,london,987,2024-01-01 23:42
275.06,washington,1027,2024-01-01 23:42
296.22,ouagadougou,1015,2024-01-01 23:42
302.38,accra,1013,2024-01-01 23:42
283.12,paris,1003,2024-01-01 23:41
284.31,london,987,2024-01-01 23:41
275.06,washington,1027,2024-01-01 23:41
296.22,ouagadougou,1015,2024-01-01 23:41
302.38,accra,1013,2024-01-01 23:41
283.06,paris,1003,2024-01-01 23:40
284.31,london,987,2024-01-01 23:40
275.06,washington,1026,2024-01-01 23:40
296.22,ouagadougou,1015,2024-01-01 23:40
302.38,accra,1013,2024-01-01 23:40
283.06,paris,1003,2024-01-01 23:39
284.31,london,987,2024-01-01 23:39
275.06,washington,1026,2024-01-01 23:39
296.22,ouagadougou,1015,2024-01-01 23:39
302.38,accra,1013,2024-01-01 23:39
283.06,paris,1003,2024-01-01 23:38
284.31,london,987,2024-01-01 23:38
275.06,washington,1026,2024-01-01 23:38
296.22,ouagadougou,1015,2024-01-01 23:38
302.38,accra,1013,2024-01-01 23:38
283.06,paris,1003,2024-01-01 23:37
284.17,london,987,2024-01-01 23:37
275.06,washington,1026,2024-01-01 23:37
296.22,ouagadougou,1015,2024-01-01 23:37
302.38,accra,1013,2024-01-01 23:37
283.06,paris,1003,2024-01-01 23:36
284.17,london,987,2024-01-01 23:36
275.06,washington,1026,2024-01-01 23:36
296.22,ouagadougou,1015,2024-01-01 23:36
302.38,accra,1013,2024-01-01 23:36
283.06,paris,1003,2024-01-01 23:35
284.17,london,987,2024-01-01 23:35
275.06,washington,1026,2024-01-01 23:35
296.22,ouagadougou,1015,2024-01-01 23:35
302.38,accra,1013,2024-01-01 23:35
283.06,paris,1003,2024-01-01 23:34
284.17,london,987,2024-01-01 23:34
275.06,washington,1026,2024-01-01 23:34
296.22,ouagadougou,1015,2024-01-01 23:34
302.38,accra,1013,2024-01-01 23:34
283.06,paris,1003,2024-01-01 23:33
284.17,london,987,2024-01-01 23:33
275.06,washington,1026,2024-01-01 23:33
296.22,ouagadougou,1015,2024-01-01 23:33
302.38,accra,1013,2024-01-01 23:33
283.06,paris,1003,2024-01-01 23:32
284.17,london,987,2024-01-01 23:32
275.23,washington,1026,2024-01-01 23:32
296.22,ouagadougou,1015,2024-01-01 23:32
302.38,accra,1013,2024-01-01 23:32
283.06,paris,1003,2024-01-01 23:31
284.17,london,987,2024-01-01 23:31
275.23,washington,1026,2024-01-01 23:31
296.22,ouagadougou,1015,2024-01-01 23:31
302.38,accra,1013,2024-01-01 23:31
283.06,paris,1003,2024-01-01 23:30
284.17,london,987,2024-01-01 23:30
275.23,washington,1026,2024-01-01 23:30
296.22,ouagadougou,1015,2024-01-01 23:30
302.38,accra,1013,2024-01-01 23:30
283.03,paris,1003,2024-01-01 23:29
284.17,london,987,2024-01-01 23:29
275.23,washington,1026,2024-01-01 23:29
296.22,ouagadougou,1015,2024-01-01 23:29
302.38,accra,1013,2024-01-01 23:29
283.03,paris,1003,2024-01-01 23:22
284.05,london,988,2024-01-01 23:22
275.23,washington,1026,2024-01-01 23:22
296.22,ouagadougou,1015,2024-01-01 23:22
302.38,accra,1013,2024-01-01 23:22
282.74,paris,1003,2024-01-01 22:56
283.66,london,988,2024-01-01 22:56
275.25,washington,1026,2024-01-01 22:56
296.22,ouagadougou,1015,2024-01-01 22:56
302.38,accra,1013,2024-01-01 22:56
282.72,paris,1003,2024-01-01 22:55
283.66,london,988,2024-01-01 22:55
275.25,washington,1026,2024-01-01 22:55
296.22,ouagadougou,1015,2024-01-01 22:55
302.38,accra,1013,2024-01-01 22:55
282.72,paris,1003,2024-01-01 22:54
283.66,london,988,2024-01-01 22:54
275.25,washington,1026,2024-01-01 22:54
296.22,ouagadougou,1015,2024-01-01 22:54
302.38,accra,1013,2024-01-01 22:54
282.72,paris,1003,2024-01-01 22:53
283.66,london,988,2024-01-01 22:53
275.25,washington,1026,2024-01-01 22:53
296.22,ouagadougou,1015,2024-01-01 22:53
302.38,accra,1013,2024-01-01 22:53
282.72,paris,1003,2024-01-01 22:52
283.66,london,988,2024-01-01 22:52
275.25,washington,1026,2024-01-01 22:52
296.22,ouagadougou,1015,2024-01-01 22:52
302.38,accra,1013,2024-01-01 22:52
282.72,paris,1003,2024-01-01 22:51
283.66,london,988,2024-01-01 22:51
275.25,washington,1026,2024-01-01 22:51
296.22,ouagadougou,1015,2024-01-01 22:51
302.38,accra,1013,2024-01-01 22:51
282.72,paris,1003,2024-01-01 22:50
283.66,london,988,2024-01-01 22:50
275.25,washington,1026,2024-01-01 22:50
296.22,ouagadougou,1015,2024-01-01 22:50
302.38,accra,1013,2024-01-01 22:50
282.49,paris,1004,2024-01-01 22:25
283.28,london,989,2024-01-01 22:25
275.15,washington,1026,2024-01-01 22:25
296.22,ouagadougou,1015,2024-01-01 22:25
302.38,accra,1013,2024-01-01 22:25
282.43,paris,1005,2024-01-01 22:06
283.12,london,990,2024-01-01 22:06
275.16,washington,1026,2024-01-01 22:06
297.58,ouagadougou,1015,2024-01-01 22:06
301.42,accra,1013,2024-01-01 22:06
282.43,paris,1005,2024-01-01 22:05
283.12,london,990,2024-01-01 22:05
274.96,washington,1026,2024-01-01 22:05
297.22,ouagadougou,1015,2024-01-01 22:05
302.38,accra,1013,2024-01-01 22:05
282.43,paris,1005,2024-01-01 22:04
283.12,london,990,2024-01-01 22:04
274.96,washington,1026,2024-01-01 22:04
297.22,ouagadougou,1015,2024-01-01 22:04
302.38,accra,1013,2024-01-01 22:04
282.43,paris,1005,2024-01-01 22:03
283.12,london,990,2024-01-01 22:03
274.96,washington,1026,2024-01-01 22:03
297.22,ouagadougou,1015,2024-01-01 22:03
302.38,accra,1013,2024-01-01 22:03
282.43,paris,1005,2024-01-01 22:02
283.12,london,990,2024-01-01 22:02
274.96,washington,1026,2024-01-01 22:02
297.22,ouagadougou,1015,2024-01-01 22:02
302.38,accra,1013,2024-01-01 22:02
282.43,paris,1005,2024-01-01 22:01
283.12,london,990,2024-01-01 22:01
274.96,washington,1026,2024-01-01 22:01
297.22,ouagadougou,1015,2024-01-01 22:01
302.38,accra,1013,2024-01-01 22:01
282.43,paris,1005,2024-01-01 21:59
283.12,london,990,2024-01-01 21:59
274.96,washington,1026,2024-01-01 21:59
297.22,ouagadougou,1015,2024-01-01 21:59
302.38,accra,1013,2024-01-01 21:59
282.43,paris,1005,2024-01-01 21:58
283.12,london,990,2024-01-01 21:58
274.96,washington,1026,2024-01-01 21:58
297.22,ouagadougou,1015,2024-01-01 21:58
302.38,accra,1013,2024-01-01 21:58
282.43,paris,1005,2024-01-01 21:57
283.12,london,990,2024-01-01 21:57
274.96,washington,1026,2024-01-01 21:57
297.22,ouagadougou,1015,2024-01-01 21:57
302.38,accra,1013,2024-01-01 21:57
282.43,paris,1005,2024-01-01 21:56
283.12,london,990,2024-01-01 21:56
274.96,washington,1026,2024-01-01 21:56
297.22,ouagadougou,1015,2024-01-01 21:56
302.38,accra,1013,2024-01-01 21:56
282.43,paris,1005,2024-01-01 21:55
283.12,london,990,2024-01-01 21:55
275.16,washington,1026,2024-01-01 21:55
297.22,ouagadougou,1015,2024-01-01 21:55
302.38,accra,1013,2024-01-01 21:55
282.43,paris,1005,2024-01-01 21:53
283.12,london,990,2024-01-01 21:53
275.16,washington,1026,2024-01-01 21:53
297.22,ouagadougou,1015,2024-01-01 21:53
302.38,accra,1013,2024-01-01 21:53
282.43,paris,1005,2024-01-01 21:52
283.12,london,990,2024-01-01 21:52
275.16,washington,1026,2024-01-01 21:52
297.22,ouagadougou,1015,2024-01-01 21:52
302.38,accra,1013,2024-01-01 21:52
282.43,paris,1005,2024-01-01 21:51
